timeStep;reward
1;27.0
2;9.0
3;7.0
4;-45.0
5;7.0
6;24.0
7;20.0
8;33.0
9;14.0
10;28.0
11;-36.0
12;14.0
13;35.0
14;24.0
15;14.0
16;-20.0
17;21.0
18;13.0
19;-20.0
20;12.0
21;-18.0
22;14.0
23;-20.0
24;16.0
25;-21.0
26;30.0
27;-72.0
28;-18.0
29;16.0
30;7.0
31;21.0
32;14.0
33;-66.0
34;15.0
35;-15.0
36;17.0
37;-15.0
38;13.0
39;-75.0
40;-16.0
41;-57.0
42;17.0
43;-69.0
44;13.0
45;0.0
46;9.0
47;14.0
48;20.0
49;27.0
50;11.0
51;-17.0
52;35.0
53;36.0
54;14.0
55;30.0
56;21.0
57;-104.0
58;-99.0
59;9.0
60;14.0
61;15.0
62;-55.0
63;-91.0
64;-33.0
65;9.0
66;-7.0
67;40.0
68;30.0
69;-15.0
70;15.0
71;-66.0
72;-20.0
73;14.0
74;-145.0
75;-72.0
76;11.0
77;-66.0
78;15.0
79;-115.0
80;-18.0
81;-140.0
82;-66.0
83;16.0
84;-63.0
85;15.0
86;36.0
87;14.0
88;36.0
89;12.0
90;-57.0
91;-17.0
92;11.0
93;28.0
94;30.0
95;-21.0
96;13.0
97;7.0
98;30.0
99;-66.0
100;16.0
101;21.0
102;15.0
103;27.0
104;13.0
105;-140.0
106;-16.0
107;15.0
108;-17.0
109;11.0
110;-120.0
111;-63.0
112;-17.0
113;16.0
114;-145.0
115;17.0
116;35.0
117;36.0
118;17.0
119;-140.0
120;12.0
121;-130.0
122;16.0
123;35.0
124;30.0
125;15.0
126;-17.0
127;16.0
128;30.0
129;30.0
130;39.0
131;-27.0
132;14.0
133;30.0
134;39.0
135;-66.0
136;14.0
137;24.0
138;12.0
139;27.0
140;13.0
141;27.0
142;13.0
143;30.0
144;15.0
145;-55.0
146;-340.0
147;-195.0
148;-77.0
149;9.0
150;14.0
151;25.0
152;24.0
153;17.0
154;14.0
155;30.0
156;36.0
157;12.0
158;-125.0
159;-69.0
160;-18.0
161;14.0
162;36.0
163;12.0
164;0.0
165;30.0
166;30.0
167;45.0
168;12.0
169;21.0
170;13.0
171;39.0
172;-57.0
173;-17.0
174;15.0
175;33.0
176;14.0
177;27.0
178;12.0
179;33.0
180;15.0
181;33.0
182;16.0
183;39.0
184;15.0
185;-21.0
186;13.0
187;33.0
188;17.0
189;33.0
190;17.0
191;27.0
192;12.0
193;33.0
194;17.0
195;33.0
196;13.0
197;21.0
198;14.0
199;39.0
200;20.0
201;14.0
202;30.0
203;36.0
204;16.0
205;33.0
206;14.0
207;27.0
208;12.0
209;33.0
210;14.0
211;21.0
212;15.0
213;24.0
214;14.0
215;30.0
216;20.0
217;30.0
218;35.0
219;30.0
220;40.0
221;33.0
222;11.0
223;30.0
224;40.0
225;39.0
226;25.0
227;33.0
228;17.0
229;30.0
230;30.0
231;33.0
232;13.0
233;27.0
234;15.0
235;24.0
236;12.0
237;36.0
238;14.0
239;21.0
240;11.0
241;30.0
242;15.0
243;-99.0
244;-27.0
245;21.0
246;21.0
247;11.0
248;30.0
249;30.0
250;27.0
251;11.0
252;36.0
253;17.0
254;33.0
255;16.0
256;30.0
257;40.0
258;21.0
259;17.0
260;30.0
261;20.0
262;27.0
263;14.0
264;39.0
265;15.0
266;17.0
267;33.0
268;12.0
269;27.0
270;11.0
271;24.0
272;16.0
273;36.0
274;16.0
275;27.0
276;17.0
277;21.0
278;13.0
279;39.0
280;45.0
281;35.0
282;20.0
283;39.0
284;40.0
285;27.0
286;11.0
287;27.0
288;14.0
289;21.0
290;12.0
291;24.0
292;13.0
293;21.0
294;15.0
295;27.0
296;12.0
297;24.0
298;13.0
299;21.0
300;17.0
301;24.0
302;11.0
303;30.0
304;25.0
305;27.0
306;16.0
307;27.0
308;11.0
309;30.0
310;35.0
311;33.0
312;11.0
313;33.0
314;17.0
315;30.0
316;25.0
317;36.0
318;15.0
319;36.0
320;15.0
321;27.0
322;14.0
323;30.0
324;35.0
325;36.0
326;17.0
327;30.0
328;15.0
329;-15.0
330;12.0
331;39.0
332;20.0
333;36.0
334;15.0
335;33.0
336;16.0
337;36.0
338;14.0
339;30.0
340;35.0
341;36.0
342;14.0
343;39.0
344;45.0
345;39.0
346;15.0
347;-18.0
348;13.0
349;21.0
350;11.0
351;36.0
352;14.0
353;21.0
354;16.0
355;27.0
356;12.0
357;36.0
358;14.0
359;39.0
360;15.0
361;21.0
362;27.0
363;17.0
364;30.0
365;25.0
366;30.0
367;30.0
368;33.0
369;12.0
370;30.0
371;40.0
372;39.0
373;15.0
374;-18.0
375;16.0
376;27.0
377;15.0
378;39.0
379;25.0
380;27.0
381;11.0
382;24.0
383;12.0
384;30.0
385;20.0
386;30.0
387;40.0
388;30.0
389;40.0
390;21.0
391;16.0
392;39.0
393;30.0
394;33.0
395;11.0
396;27.0
397;14.0
398;24.0
399;14.0
400;21.0
401;35.0
402;27.0
403;13.0
404;33.0
405;17.0
406;30.0
407;35.0
408;39.0
409;20.0
410;30.0
411;30.0
412;24.0
413;14.0
414;30.0
415;40.0
416;24.0
417;12.0
418;30.0
419;15.0
420;-20.0
421;15.0
422;27.0
423;14.0
424;27.0
425;12.0
426;39.0
427;20.0
428;36.0
429;15.0
430;30.0
431;40.0
432;36.0
433;14.0
434;27.0
435;16.0
436;24.0
437;14.0
438;36.0
439;16.0
440;30.0
441;30.0
442;24.0
443;11.0
444;27.0
445;15.0
446;24.0
447;16.0
448;30.0
449;40.0
