timeStep;prevPrice;prevCustomers;chosenAction;oldQValue;newQValue;rand;reward
36001;5.0;10;2.0;231.78947368420998;231.78947368421004;false;30.0
36002;5.0;6;-2.0;224.21052631578894;224.210526315789;false;30.0
36003;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36004;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36005;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36006;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36007;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36008;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36009;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36010;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36011;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36012;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36013;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36014;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36015;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36016;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36017;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36018;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36019;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36020;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36021;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36022;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36023;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36024;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36025;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36026;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36027;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36028;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36029;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36030;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36031;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36032;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36033;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36034;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36035;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36036;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36037;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36038;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36039;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36040;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36041;5.0;10;2.0;231.78947368420998;231.78947368421004;false;30.0
36042;5.0;6;-2.0;224.21052631578894;224.210526315789;false;30.0
36043;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36044;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36045;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36046;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36047;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36048;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36049;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36050;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36051;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36052;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36053;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36054;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36055;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36056;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36057;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36058;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36059;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36060;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36061;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36062;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36063;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
36064;1.0;14;2.0;224.21052631578894;224.210526315789;false;30.0
36065;3.0;10;-2.0;215.78947368420998;215.78947368421004;false;14.0
