timeStep;prevPrice;prevCustomers;chosenAction;oldQValue;newQValue;rand;reward
1;5.0;10;4.0;0.0;-18.0;true;-18.0
2;9.0;-2;2.0;0.0;-66.0;true;-66.0
3;11.0;-6;4.0;0.0;-210.0;true;-210.0
4;15.0;-14;-2.0;0.0;-130.0;true;-130.0
5;13.0;-10;4.0;0.0;-306.0;true;-306.0
6;17.0;-18;-2.0;0.0;-210.0;false;-210.0
7;15.0;-14;4.0;0.0;-418.0;true;-418.0
8;19.0;-22;6.0;0.0;-850.0;true;-850.0
9;25.0;-34;-2.0;0.0;-690.0;true;-690.0
10;23.0;-30;-2.0;0.0;-546.0;false;-546.0
11;21.0;-26;-2.0;0.0;-418.0;false;-418.0
12;19.0;-22;-4.0;0.0;-210.0;false;-210.0
13;15.0;-14;-6.0;0.0;-18.0;false;-18.0
14;9.0;-2;-4.0;0.0;30.0;false;30.0
15;5.0;6;2.0;0.0;14.0;true;14.0
16;7.0;2;4.0;0.0;-66.0;true;-66.0
17;11.0;-6;6.0;0.0;-306.0;true;-306.0
18;17.0;-18;4.0;0.0;-546.0;true;-546.0
19;21.0;-26;-4.0;0.0;-306.0;false;-306.0
20;17.0;-18;-6.0;0.0;-66.0;false;-66.0
21;11.0;-6;-2.0;-42.0;-12.6;true;-18.0
22;9.0;-2;6.0;0.0;-210.0;true;-210.0
23;15.0;-14;2.0;0.0;-306.0;true;-306.0
24;17.0;-18;2.0;0.0;-418.0;false;-418.0
25;19.0;-22;-6.0;0.0;-130.0;false;-130.0
26;13.0;-10;-4.0;0.0;-18.0;false;-18.0
27;9.0;-2;-6.0;0.0;30.0;false;30.0
28;3.0;10;-2.0;0.0;14.0;false;14.0
29;1.0;14;-2.0;0.0;-18.0;false;-18.0
30;-1.0;18;2.0;0.0;14.0;true;14.0
31;1.0;14;6.0;0.0;14.0;true;14.0
32;7.0;2;2.0;0.0;-12.6;true;-18.0
33;9.0;-2;-6.0;6.0;32.52;false;30.0
34;3.0;10;-2.0;2.8000000000000003;16.52;false;14.0
35;1.0;14;-2.0;-3.6;-15.48;true;-18.0
36;-1.0;18;6.0;0.0;32.52;true;30.0
37;5.0;6;-4.0;0.0;14.0;true;14.0
38;1.0;14;-6.0;0.0;-130.0;false;-130.0
39;-5.0;26;6.0;0.0;14.0;true;14.0
40;1.0;14;2.0;0.0;34.9896;true;30.0
41;5.0;10;6.0;0.0;-7.826399999999998;true;-18.0
42;9.0;-2;4.0;0.0;-130.0;true;-130.0
43;13.0;-10;-6.0;0.0;14.0;true;14.0
44;7.0;2;-4.0;-2.52;34.9896;true;30.0
